"0x40260","Character","Class","Level","Name","X Position","Y Position","Seperator?","Portrait","Weapon 1","Weapon 2","Weapon 3","Weapon 4","Item 1","Item 2","????","????","Enemy AI","Enemy AI","Enemy AI"
"0x0","0x0","0x0","1","0x0","7","25","0xff","0x0","0x3","0xff","0xff","0xff","0x57","0xff","0xff","0xff","0xff","0xff","0xff"
"0x1","0x1","0x9","1","0x1","5","5","0xff","0x1","0x16","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x2","0x2","0x4","1","0x2","7","25","0xff","0x2","0x11","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x3","0x3","0x3","1","0x3","7","25","0xff","0x3","0xf","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x4","0x4","0x3","1","0x4","7","25","0xff","0x4","0x13","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x5","0x6","0xd","1","0x6","7","25","0xff","0x6","0x18","0x1a","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x6","0x5","0x7","1","0x5","7","25","0xff","0x5","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x7","0x5c","0x1e","5","0x34","1","7","0xff","0x34","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x1","0x4","0x1"
"0x8","0x5d","0x1e","1","0x38","8","1","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x1","0x9","0x3"
"0x9","0x5e","0x1e","1","0x38","7","1","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x1","0xa","0x3"
"0xa","0x5f","0x1e","3","0x38","1","5","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0xb","0x60","0x1e","1","0x38","1","6","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0xc","0x61","0x1e","1","0x38","1","7","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0xd","0x62","0x1e","1","0x38","1","5","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x7","0x0","0x3"
"0xe","0x63","0x1e","1","0x38","6","1","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x7","0x1","0x3"
"0xf","0x64","0x1e","1","0x38","13","6","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0x10","0x65","0x1e","1","0x38","13","12","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x0","0x3"
"0x11","0x66","0x1e","1","0x38","12","14","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x7","0x0","0x3"
"0x12","0x67","0x1e","1","0x38","1","14","0xff","0x8","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x7","0x1","0x3"
"0x13","0x68","0xb","1","0x38","12","6","0xff","0x36","0x18","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xe","0x1","0x3"
"0x14","0x4b","0x13","1","0x38","13","25","0xff","0x35","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x2","0x6","0x2"
