"0x404e8","Character","Class","Level","Name","X Position","Y Position","Seperator?","Portrait","Weapon 1","Weapon 2","Weapon 3","Weapon 4","Item 1","Item 2","????","????","Enemy AI","Enemy AI","Enemy AI"
"0x0","0xf","0x13","3","0xf","7","21","0xff","0xf","0x0","0xff","0xff","0xff","0x58","0xff","0xff","0xff","0xff","0xff","0xff"
"0x1","0x10","0x16","3","0x10","7","21","0xff","0x10","0xff","0xff","0xff","0xff","0x44","0xff","0xff","0xff","0xff","0xff","0xff"
"0x2","0x12","0x11","3","0x12","0","0","0xff","0x12","0x4","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xff"
"0x3","0x5c","0x1d","1","0x39","7","21","0xff","0xe","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x0"
"0x4","0x5d","0x1d","1","0x39","7","21","0xff","0xe","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x0"
"0x5","0x5e","0x1d","1","0x39","7","21","0xff","0xe","0x1e","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x0"
"0x6","0x5f","0xb","1","0x39","7","21","0xff","0x36","0x18","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xe","0x1","0x0"
"0x7","0x60","0x13","1","0x39","7","21","0xff","0x35","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x2","0x6","0x2"
"0x8","0x61","0x13","1","0x39","7","21","0xff","0x35","0x0","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x2","0x6","0x2"
"0x9","0x36","0x11","3","0x12","7","21","0xff","0x12","0x4","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x6","0x1","0x3"
