"0x484bc","Character","Class","Level","Name","X Position","Y Position","Seperator?","Portrait","Weapon 1","Weapon 2","Weapon 3","Weapon 4","Item 1","Item 2","????","????","Enemy AI","Enemy AI","Enemy AI"
"0x0","0x47","0x7","5","0x3a","7","8","0xff","0x3a","0x12","0xff","0xff","0xff","0x12","0xff","0xff","0xff","0x1","0x4","0x1"
"0x1","0x45","0x7","3","0x56","7","9","0xff","0x50","0xf","0xff","0xff","0xff","0xc","0xff","0xff","0xff","0x1","0x4","0x3"
"0x2","0x45","0x7","1","0x56","4","11","0xff","0x50","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x3","0x3"
"0x3","0x45","0x1a","1","0x59","4","10","0xff","0x59","0x40","0xff","0xff","0xff","0x40","0xff","0xff","0xff","0x2","0x5","0x3"
"0x4","0x45","0x3","3","0x59","7","4","0xff","0x2d","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x5","0x0","0x3"
"0x5","0x45","0x9","1","0x5a","6","2","0xff","0x47","0x13","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x5","0x0","0x3"
"0x6","0x45","0xd","3","0x59","9","8","0xff","0x38","0x18","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xe","0x0","0x3"
"0x7","0x45","0xd","1","0x59","9","9","0xff","0x38","0x18","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xe","0x2","0x3"
"0x8","0x45","0x13","3","0x7b","13","9","0xff","0x35","0x0","0xff","0xff","0xff","0xff","0xff","0x64","0x0","0x2","0x6","0x3"
"0x9","0x45","0x13","1","0x7b","13","8","0xff","0x35","0x0","0xff","0xff","0xff","0x2","0xff","0xff","0xff","0x2","0x6","0x3"
"0xa","0x45","0x3","1","0x59","4","26","0xff","0x2d","0x10","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0xb","0x45","0x3","1","0x59","4","27","0xff","0x2d","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0xc","0x45","0x3","1","0x59","4","28","0xff","0x2d","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x3"
"0xd","0x45","0xd","3","0x59","4","29","0xff","0x38","0x18","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0xe","0x1","0x3"
"0xe","0x45","0x9","3","0x5a","3","28","0xff","0x47","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x3","0x1","0x1"
"0xf","0x2c","0x3","2","0x2c","7","5","0xff","0x2c","0xf","0xff","0xff","0xff","0xff","0xff","0xff","0xff","0x6","0x2","0x1"
